name,latitude,longitude,authority,source,owner
Roscoe Wind Farm LLC,32.469400,-100.666400,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
Munnsville Wind Farm LLC,42.908600,-75.569700,New York Independent System Operator,,New York State Elec & Gas Corp
Breezy Bucks I LLC,44.319700,-96.331700,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Wygen III,44.291900,-105.380600,Western Area Power Administration - Rocky Mountain Region,Wells,Black Hills Power Inc
Elm Street Substation Generators,37.781400,-90.415600,"Midcontinent Independent Transmission System Operator, Inc..",,City of Farmington - (MO)
Walton Street Substation,37.788100,-90.433600,"Midcontinent Independent Transmission System Operator, Inc..",,City of Farmington - (MO)
Jefferson Street Substation,37.769400,-90.425800,"Midcontinent Independent Transmission System Operator, Inc..",,City of Farmington - (MO)
Overall Road Station,37.760800,-90.452600,"Midcontinent Independent Transmission System Operator, Inc..",,City of Farmington - (MO)
Snyder Wind Farm,32.739294,-100.738949,"Electric Reliability Council of Texas, Inc.",,"Big Country Electric Coop, Inc"
San Jacinto County Peaking Facility,30.419300,-95.011800,"Midcontinent Independent Transmission System Operator, Inc..",,Entergy Texas Inc.
Hardin County Peaking Facility,30.303800,-94.252600,"Midcontinent Independent Transmission System Operator, Inc..",,Entergy Texas Inc.
"Langdon Renewables, LLC",48.630000,-98.315000,"Midcontinent Independent Transmission System Operator, Inc..",,"Minnkota Power Coop, Inc"
Culbertson Generation Station,48.210000,-104.391667,Southwest Power Pool,,Basin Electric Power Coop
Prairie Winds ND1,47.933621,-101.269189,Southwest Power Pool,,WAPA-- Western Area Power Administration
Prairie Winds SD1,43.886389,-98.787500,Southwest Power Pool,,WAPA-- Western Area Power Administration
Dry Fork Station,44.388889,-105.460833,Western Area Power Administration - Rocky Mountain Region,Wells,Basin Electric Power Coop
Deer Creek Station,44.290833,-96.526667,Southwest Power Pool,Wells,Basin Electric Power Coop
Sandy Creek Energy Station,31.474378,-96.957149,"Electric Reliability Council of Texas, Inc.",WMARSS,Oncor Electric Delivery Company LLC
Logan Wind Energy,40.941000,-103.259000,Public Service Company of Colorado,,Public Service Co of Colorado
Old Trail Wind Farm,40.479200,-88.798900,"PJM Interconnection, LLC",,Commonwealth Edison Co
Rancho Penasquitos,32.936950,-117.113669,California Independent System Operator,Aqueduct,San Diego Gas & Electric Co
Novo BioPower Plant,34.503158,-110.334953,Arizona Public Service Company,Wells,Arizona Public Service Co
Fenton Wind Farm,43.852778,-96.018333,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Noble Clinton Windpark LLC,44.891400,-74.006100,New York Independent System Operator,,New York Power Authority
Noble Ellenburg Windpark LLC,44.891400,-74.006100,New York Independent System Operator,,New York Power Authority
Noble Bliss Windpark LLC,42.536700,-78.304700,New York Independent System Operator,,Village of Arcade - (NY)
Sleeping Bear LLC,36.640278,-99.500556,Southwest Power Pool,,"Western Farmers Elec Coop, Inc"
Providence Heights Wind LLC,41.229400,-89.557200,"PJM Interconnection, LLC",,Commonwealth Edison Co
Elkhorn Valley Wind Farm,45.085221,-117.816273,Idaho Power Company,,Idaho Power Co
BC Energy LLC,43.618300,-95.425300,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
KC Energy LLC,43.629200,-95.416900,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
K&D Energy LLC,43.618100,-95.417200,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
KSS Turbines LLC,43.624700,-95.431400,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
Prairie Wind Power LLC,43.595800,-95.383300,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
Waterbury Generation,41.544400,-73.041700,ISO New England Inc.,City of Waterbury/Municipality,Connecticut Light & Power Co
Taconite Ridge 1 Wind Energy Center,47.574700,-92.591700,"Midcontinent Independent Transmission System Operator, Inc..",,"ALLETE, Inc."
Turlock Irrigation District Fuel Cell,37.483300,-120.867500,Turlock Irrigation District,,Turlock Irrigation District
Dutch Hill Wind Project,42.545600,-77.496700,New York Independent System Operator,,New York State Elec & Gas Corp
Cohocton Wind Project,42.450000,-77.520000,New York Independent System Operator,,New York State Elec & Gas Corp
Harvest,43.830000,-83.206400,"Midcontinent Independent Transmission System Operator, Inc..",,Consumers Energy Co
Mountain Home,43.027200,-115.465600,Idaho Power Company,,Idaho Power Co
Bennett Creek Windfarm LLC - Mountain Home,43.053600,-115.480300,Idaho Power Company,,Idaho Power Co
Buffalo Gap 3 Wind Farm,32.287800,-100.100000,"Electric Reliability Council of Texas, Inc.",,AEP Texas Central Company
Midway Peaking LLC,36.654114,-120.579727,California Independent System Operator,UNK,Pacific Gas & Electric Co
Camp Grove Wind Farm,41.090583,-89.639811,"PJM Interconnection, LLC",,Commonwealth Edison Co
Ely Energy Center,39.500000,-114.783333,Nevada Power Company,Wells,Nevada Power Co
St Paul Cogeneration,44.942889,-93.096559,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Northern States Power Co - Minnesota
Stanton Wind Energy LLC,32.235300,-101.836700,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
Osceola Windpower LLC,43.430300,-95.416700,Southwest Power Pool,,"Osceola Electric Coop, Inc"
Chandler Hills Wind Farm,43.917000,-95.954000,"Midcontinent Independent Transmission System Operator, Inc..",,Nobles Cooperative Electric
Butler Ridge,43.400278,-88.481111,"Midcontinent Independent Transmission System Operator, Inc..",n/a,American Transmission Co
Majestic 1 Wind Farm,35.391900,-101.530000,Southwest Power Pool,n/a,Southwestern Public Service Co
South Trent Wind Farm,32.408100,-100.128600,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
Wessington Springs,44.002500,-98.590833,Southwest Power Pool,n/a,WAPA-- Western Area Power Administration
North Allegheny Windpower Project,40.438100,-78.543600,"PJM Interconnection, LLC",n/a,Pennsylvania Electric Co
Crescent Ridge II Wind Energy Project,41.221389,-89.601666,"PJM Interconnection, LLC",,Commonwealth Edison Co
Hatchet Ridge Wind Project,40.898100,-121.803600,California Independent System Operator,,Pacific Gas & Electric Co
Seldom Seen Wind LLC,40.695833,-78.663055,"PJM Interconnection, LLC",,Pennsylvania Electric Co
Aragonne Mesa Phase II,34.842778,-104.976111,Public Service Company of New Mexico,,Public Service Co of NM
Lancaster Wind Farm Project,42.353889,-89.587777,"PJM Interconnection, LLC",,Commonwealth Edison Co
Majestic 2 Wind Farm,35.392222,-101.585833,"Electric Reliability Council of Texas, Inc.",,Southwestern Public Service Co
Michigan Wind 2,43.663056,-82.746944,"Midcontinent Independent Transmission System Operator, Inc..",,ITC Transmission
Pattern Gulf Wind,27.001100,-97.599400,"Electric Reliability Council of Texas, Inc.",,AEP Texas Central Company
Texas Gulf Wind 2,27.001111,-97.599444,"Electric Reliability Council of Texas, Inc.",,AEP Texas Central Company
El Paso Wind Project,40.720000,-89.082777,"Midcontinent Independent Transmission System Operator, Inc..",,
Dempsey Ridge Wind Farm,35.529778,-99.814456,Southwest Power Pool,,Public Service Co of Oklahoma
Goodnoe Hills,45.781825,-120.521151,PacifiCorp - West,,PacifiCorp
Lanai Solar-Electric Plant,20.766700,-156.923300,,,Maui Electric Co Ltd
NIH Cogeneration Facility,39.000000,-77.093900,"PJM Interconnection, LLC",Municipality,Potomac Electric Power Co
Tatanka Wind Power LLC,45.959325,-98.946325,"Midcontinent Independent Transmission System Operator, Inc..",,Montana-Dakota Utilities Co
Velva Windfarm LLC,48.083625,-100.921500,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Longview Power Plant,39.707893,-79.958974,"PJM Interconnection, LLC",Monongahela River,Monongahela Power Co
Whirlwind Energy Center,34.105000,-101.098600,"Electric Reliability Council of Texas, Inc.",,AEP Texas North Company
Winchester Power Park,30.038100,-96.987500,"Electric Reliability Council of Texas, Inc.",,Lower Colorado River Authority
Plant Washington,33.064722,-82.745000,"Southern Company Services, Inc. - Trans","Oconee River, groundwater",Georgia Transmission Corp
Margarita Energy Center,33.549444,-117.627777,California Independent System Operator,Municipality,San Diego Gas & Electric Co
Charles City Wind Farm,43.000300,-92.620000,"Midcontinent Independent Transmission System Operator, Inc..",,MidAmerican Energy Co
Benton County Wind Farm,40.695000,-87.488600,"Midcontinent Independent Transmission System Operator, Inc..",,Northern Indiana Pub Serv Co
Wicomico,38.384700,-75.634400,"PJM Interconnection, LLC",Wells,Delmarva Power
Amelia,37.309700,-78.058900,"PJM Interconnection, LLC",Wells,Virginia Electric & Power Co
Brunswick Landfill Gas,36.763900,-77.810800,"PJM Interconnection, LLC",Wells,Virginia Electric & Power Co
Charles City,37.438889,-77.128611,"PJM Interconnection, LLC",Wells,Virginia Electric & Power Co
Chesterfield Landfill Gas,37.351700,-77.496900,"PJM Interconnection, LLC",Municipality,Virginia Electric & Power Co
King & Queen,37.671100,-76.760000,"PJM Interconnection, LLC",Wells,Virginia Electric & Power Co
Mountain View,39.801400,-77.788300,"PJM Interconnection, LLC",Wells,PPL Electric Utilities Corp
New Bern,35.168100,-77.226700,Duke Energy Progress East,Wells,Duke Energy Progress - (NC)
Pine Grove,40.555300,-76.388600,"PJM Interconnection, LLC",Municipality,PPL Electric Utilities Corp
Rockville 1 & 2,37.703600,-77.663900,"PJM Interconnection, LLC",Wells,Virginia Electric & Power Co
Virginia Beach,36.785800,-76.201900,"PJM Interconnection, LLC",Municipality,Virginia Electric & Power Co
Russell D Smith,46.739200,-119.112200,Bonneville Power Administration,Irrigation Canal,Bonneville Power Administration
Summer Falls Power Plant,47.502500,-119.291700,Avista Corporation,Irrigation Canal,Avista Corp
Eltopia Branch Canal 4.6,46.378381,-119.254522,Bonneville Power Administration,Irrigation Canal,Bonneville Power Administration
Potholes East Canal 66.0,46.378469,-119.254443,Bonneville Power Administration,Irrigation Canal,Bonneville Power Administration
Main Canal Headworks,47.616400,-119.299200,Avista Corporation,Irrigation Canal,Avista Corp
Forward Windpower LLC,40.085300,-78.863300,"PJM Interconnection, LLC",,Pennsylvania Electric Co
Lookout Windpower LLC,39.879400,-78.918300,"PJM Interconnection, LLC",,Pennsylvania Electric Co
Haworth Water Treatment Plant,40.959257,-74.015107,"PJM Interconnection, LLC",,Public Service Elec & Gas Co
Tuolumne Wind Project,45.879700,-120.807200,Bonneville Power Administration,,Bonneville Power Administration
Lyons Falls Hydroelectric,43.618630,-75.358577,New York Independent System Operator,Black River,Niagara Mohawk Power Corp.
Gouldtown,43.612619,-75.339072,New York Independent System Operator,Moose River,Niagara Mohawk Power Corp.
Kosterville,43.614218,-75.332705,New York Independent System Operator,Moose River,Niagara Mohawk Power Corp.
Ampersand Chowchilla Biomass LLC,37.106668,-120.248504,California Independent System Operator,Municipality,Pacific Gas & Electric Co
El Nido Facility,37.186700,-120.490300,California Independent System Operator,Wells,Pacific Gas & Electric Co
CFB Power Plant,28.650278,-96.539722,"Electric Reliability Council of Texas, Inc.",Lake Texana,AEP Texas Central Company
Christoffer Wind Energy I LLC,43.625600,-95.372500,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
Christoffer Wind Energy II LLC,43.625600,-95.367200,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
Christoffer Wind Energy III LLC,43.625600,-95.361900,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
Christoffer Wind Energy IV LLC,43.625600,-95.356700,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
Jeffers Wind 20 LLC,44.057778,-95.252500,"Midcontinent Independent Transmission System Operator, Inc..",,Interstate Power and Light Co
Spanish Fork Wind Park 2 LLC,40.071389,-111.582222,PacifiCorp - East,,PacifiCorp
Mountain Wind Power LLC,41.288056,-110.480741,PacifiCorp - East,,PacifiCorp
Mountain Wind Power II LLC,41.263889,-110.544444,PacifiCorp - East,,PacifiCorp
Goat Wind LP,31.951944,-100.791389,"Electric Reliability Council of Texas, Inc.",,PacifiCorp
Odin Wind Farm LLC,43.895300,-94.914200,"Midcontinent Independent Transmission System Operator, Inc..",,Interstate Power and Light Co
Capricorn Ridge Wind LLC,31.951958,-101.018936,"Electric Reliability Council of Texas, Inc.",,Lower Colorado River Authority
Winnebago Wind Power Project,43.315000,-93.770000,"Midcontinent Independent Transmission System Operator, Inc..",,Dairyland Power Coop
Barton Windpower LLC,43.393000,-93.091000,"Midcontinent Independent Transmission System Operator, Inc..",,Interstate Power and Light Co
Farmers City Wind LLC,40.575000,-95.522800,"Midcontinent Independent Transmission System Operator, Inc..",,MidAmerican Energy Co
CalRenew-1,36.757500,-120.365800,California Independent System Operator,,Pacific Gas & Electric Co
Locust Ridge II LLC,40.841100,-76.154700,"PJM Interconnection, LLC",,PPL Electric Utilities Corp
Silver Star I Wind Power Project,32.338659,-98.476051,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
McAdoo Wind Energy LLC,33.752201,-100.967402,"Electric Reliability Council of Texas, Inc.",,AEP Texas North Company
Turkey Track Wind Energy LLC,32.198100,-100.268600,"Electric Reliability Council of Texas, Inc.",,AEP Texas North Company
Scurry County Wind II,32.718056,-100.793333,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
Gunsight Mountain Wind Energy LLC,32.240278,-101.473611,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
Fowler Ridge Wind Farm LLC,40.583889,-87.333600,"PJM Interconnection, LLC",,Indiana Michigan Power Co
Sherbino I Wind Farm,30.807272,-102.355628,"Electric Reliability Council of Texas, Inc.",,Texas-New Mexico Power Co
Evergreen BioPower LLC,44.770792,-122.611974,PacifiCorp - West,Wells,PacifiCorp
Diamond Willow Wind Facility,46.275300,-104.183600,"Midcontinent Independent Transmission System Operator, Inc..",,Montana-Dakota Utilities Co
Elbow Creek Wind Project LLC,32.140800,-101.398600,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
Cloud County Wind Farm,39.437500,-97.664400,Southwest Power Pool,,Prairie Land Electric Coop Inc
Virginia Tech Power Plant,37.231900,-80.421100,"PJM Interconnection, LLC",New River via Water Authority,Virginia Tech Electric Service
Spiritwood Station,46.926423,-98.499713,"Midcontinent Independent Transmission System Operator, Inc..",Jamestown POTW,Otter Tail Power Co
Geismar Cogen,30.209000,-90.992100,"Midcontinent Independent Transmission System Operator, Inc..",BASF/Mississippi River,Entergy Louisiana LLC
Pebble Springs Wind LLC,45.711900,-120.125000,Avangrid Renewables LLC,,Bonneville Power Administration
Hay Canyon Wind Power LLC,45.520000,-120.574400,Avangrid Renewables LLC,,Bonneville Power Administration
Dillon Wind LLC,33.939300,-116.552700,California Independent System Operator,,Southern California Edison Co
Buffalo Ridge I LLC,44.432800,-96.477900,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Elm Creek Wind LLC,43.754200,-94.949700,"Midcontinent Independent Transmission System Operator, Inc..",,PPL Electric Utilities Corp
Moraine II Wind LLC,44.123800,-96.078400,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Penascal Wind Power LLC,27.070200,-97.507700,"Electric Reliability Council of Texas, Inc.",,AEP Texas Central Company
South Chestnut LLC,39.751300,-79.727100,"PJM Interconnection, LLC",,West Penn Power Company
Pioneer Prairie Wind Farm,43.483900,-92.613100,"Midcontinent Independent Transmission System Operator, Inc..",,ITC Midwest LLC
Kleen Energy Systems Project,41.553227,-72.596867,ISO New England Inc.,Connecticut River,Connecticut Light & Power Co
Greenland Energy Center,30.159131,-81.518415,JEA,Municipality,JEA
Hull Wind II,42.261111,-70.856389,ISO New England Inc.,,Massachusetts Electric Co
Panoche Energy Center,36.651400,-120.583300,California Independent System Operator,On site wells,Pacific Gas & Electric Co
Red Hills Wind Project LLC,35.535000,-99.382800,Southwest Power Pool,,"Western Farmers Elec Coop, Inc"
EcoGrove Wind LLC,42.451481,-89.878428,"PJM Interconnection, LLC",,Commonwealth Edison Co
Cedar Bayou 4,29.751645,-94.923120,"Electric Reliability Council of Texas, Inc.",Cedar Bayou,CenterPoint Energy
Bear Garden,37.695556,-78.285278,"PJM Interconnection, LLC",James River (ECTI),Virginia Electric & Power Co
Virginia City Hybrid Energy Center,36.916389,-82.338055,"PJM Interconnection, LLC",Municipality,Appalachian Power Co
Carroll Wind Farm,42.162200,-94.930000,"Midcontinent Independent Transmission System Operator, Inc..",,MidAmerican Energy Co
Adair Wind Farm,41.423600,-94.665000,"Midcontinent Independent Transmission System Operator, Inc..",,MidAmerican Energy Co
Walnut Wind Farm,41.451700,-95.238300,"Midcontinent Independent Transmission System Operator, Inc..",,MidAmerican Energy Co
Solana Generating Station,32.922294,-112.955940,Arizona Public Service Company,,Arizona Public Service Co
CSU Fresno Solar Project,36.809841,-119.741665,California Independent System Operator,,Pacific Gas & Electric Co
ELACC Photovoltaic Power Facility,34.040278,-118.148056,California Independent System Operator,,Southern California Edison Co
Denver Int Airport,39.836789,-104.697149,Public Service Company of Colorado,,Public Service Co of Colorado
Central Plains Wind Farm,38.503167,-101.161472,Southwest Power Pool,,Westar Energy Inc
Flat Ridge Wind Farm,37.369167,-98.460278,Southwest Power Pool,,Westar Energy Inc
Britton Powerhouse,41.021389,-121.675000,California Independent System Operator,Pit River,Pacific Gas & Electric Co
Chalk Mountain Powerhouse,40.988056,-121.768333,California Independent System Operator,Pit river,Pacific Gas & Electric Co
Rock Creek Dam,39.986944,-121.283055,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Hackberry Wind Farm,32.768300,-99.422800,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
Marshall Wind 2 LLC,44.323600,-95.822200,"Midcontinent Independent Transmission System Operator, Inc..",,Otter Tail Power Co
Marshall Wind 3 LLC,44.321100,-95.794200,"Midcontinent Independent Transmission System Operator, Inc..",,Otter Tail Power Co
Marshall Wind 4 LLC,44.336100,-95.824200,"Midcontinent Independent Transmission System Operator, Inc..",,Otter Tail Power Co
Marshall Wind 5 LLC,44.330300,-95.834400,"Midcontinent Independent Transmission System Operator, Inc..",,Otter Tail Power Co
Marshall Wind 6 LLC,44.330800,-95.829700,"Midcontinent Independent Transmission System Operator, Inc..",,Otter Tail Power Co
Kibby Wind Facility,45.385300,-70.525800,ISO New England Inc.,,Central Maine Power Co
Crane Creek Wind Energy Center,43.397778,-92.473611,"Midcontinent Independent Transmission System Operator, Inc..",,American Transmission Systems Inc
North Brawley Geothermal Plant,33.013900,-115.543900,Imperial Irrigation District,,Imperial Irrigation District
OREG 1 Inc,48.213900,-104.397500,Southwest Power Pool,,Mor-Gran-Sou Electric Coop Inc
High Plains,35.350300,-101.540000,Southwest Power Pool,,Southwestern Public Service Co
EXC Wind 11,35.811900,-101.978900,Southwest Power Pool,,Southwestern Public Service Co
EXC Wind 10,35.808100,-101.998600,Southwest Power Pool,,Southwestern Public Service Co
EXC Wind 9,35.961400,-101.803300,Southwest Power Pool,,Southwestern Public Service Co
EXC Wind 8,36.007500,-101.861400,Southwest Power Pool,,Southwestern Public Service Co
EXC Wind 7,36.026400,-101.900000,Southwest Power Pool,,Southwestern Public Service Co
Marshall Wind 1 LLC,44.325300,-95.814200,"Midcontinent Independent Transmission System Operator, Inc..",,Otter Tail Power Co
Glenrock,43.018100,-105.835278,PacifiCorp - East,,PacifiCorp
Rolling Hills,43.057200,-105.854300,PacifiCorp - East,,PacifiCorp
Seven Mile Hill,41.920300,-106.375800,PacifiCorp - East,,PacifiCorp
CPV St Charles Energy Center,38.568600,-76.891900,"PJM Interconnection, LLC",Mattawoman WWTP,Potomac Electric Power Co
Plainfield Renewable Energy LLC,41.664376,-71.924180,ISO New England Inc.,Quinebaug River,Connecticut Light & Power Co
Haverhill North Cogeneration Facility,38.596657,-82.828642,"PJM Interconnection, LLC",well water,Ohio Power Co
Woodfin,35.650000,-82.557500,Duke Energy Progress East,,Progress Energy Carolinas Inc
Lanchester Generating Station,40.110800,-75.954700,"PJM Interconnection, LLC",,PPL Electric Utilities Corp
Bryon Center,42.781400,-85.672800,"Midcontinent Independent Transmission System Operator, Inc..",,Consumers Energy Co
Pinconning White Feather,43.898300,-83.949400,"Midcontinent Independent Transmission System Operator, Inc..",,Consumers Energy Co
Trans-Jordan Generating Station,40.550000,-112.063100,PacifiCorp - East,,PacifiCorp
Wheat Field Wind Power Project,45.675804,-120.318320,Bonneville Power Administration,,Bonneville Power Administration
Arlington Wind Power Project,45.716700,-120.200800,Bonneville Power Administration,,Bonneville Power Administration
Rail Splitter Wind Farm,40.369200,-89.402200,"Midcontinent Independent Transmission System Operator, Inc..",,Ameren Illinois Company
Marble River Wind Farm,44.975833,-73.929722,New York Independent System Operator,,New York State Elec & Gas Corp
Sagebrush Power Partners,47.135600,-120.687200,Bonneville Power Administration,,Bonneville Power Administration
Crosswind Energy Project,43.047500,-94.922800,"Midcontinent Independent Transmission System Operator, Inc..",,Corn Belt Power Coop
Hardin Hilltop Wind LLC,42.082200,-94.365000,"Midcontinent Independent Transmission System Operator, Inc..",,Interstate Power and Light Co
Bolthouse S&P and Rowen Farms Solar,34.564400,-117.693300,California Independent System Operator,,Southern California Edison Co
Model Gas Power Station,39.890800,-83.027200,"PJM Interconnection, LLC",,City of Columbus - (OH)
Covel Gardens Gas Recovery,29.346700,-98.653600,"Electric Reliability Council of Texas, Inc.",,City of San Antonio - (TX)
Ottawa County Project,41.528300,-83.035300,"PJM Interconnection, LLC",,Ohio Edison Co
Middle Point Landfill Gas Recovery,35.934200,-86.375600,Tennessee Valley Authority,,Middle Tennessee E M C
Roberts Road Power Plant,33.487800,-84.440600,"Southern Company Services, Inc. - Trans",,Coweta-Fayette El Member Corp
Carbon Limestone,40.997500,-80.520800,"PJM Interconnection, LLC",,Ohio Edison Co
Loraine County Project,41.300600,-82.180300,"PJM Interconnection, LLC",,City of Oberlin - (OH)
Taylor,32.452200,-84.387200,"Southern Company Services, Inc. - Trans",,Flint Electric Membership Corp
Zion Landfill Gas to Energy Facility,42.480300,-87.886100,"PJM Interconnection, LLC",,Commonwealth Edison Co
Meldahl Hydroelectric Project,38.791431,-84.172982,"PJM Interconnection, LLC",Ohio River,City of Hamilton - (OH)
SECCRA Community Landfill,39.863900,-75.842800,"PJM Interconnection, LLC",,PECO Energy Co
Shiloh Wind Project 2 LLC,38.171100,-121.846100,California Independent System Operator,,Pacific Gas & Electric Co
Sacramento Soleil LLC,38.449790,-121.164690,Balancing Authority of Northern California,,Sacramento Municipal Util Dist
Wapsipinicon Wind Project,43.800600,-92.682200,"Midcontinent Independent Transmission System Operator, Inc..",,Great River Energy
Hall's Warehouse Solar Project,40.573708,-74.394414,"PJM Interconnection, LLC",,Public Service Elec & Gas Co
Hoosier Wind Project LLC,40.717800,-87.263100,"Midcontinent Independent Transmission System Operator, Inc..",,Indianapolis Power & Light Co
Flat Ridge Wind Energy LLC,37.376400,-98.458300,Southwest Power Pool,,"ITC Great Plains, LLC"
OREG 2 Inc,48.214200,-104.397500,Southwest Power Pool,,Mor-Gran-Sou Electric Coop Inc
Pennsauken Solar,39.989400,-75.040000,"PJM Interconnection, LLC",,Public Service Elec & Gas Co
Cumberland County Solid Waste Complex,39.449400,-75.092800,"PJM Interconnection, LLC",,Atlantic City Electric Co
Maidencreek Biomass Plant,40.478056,-75.968055,"PJM Interconnection, LLC",Wells,Metropolitan Edison Co
Jersey Shore Steel Co,41.136389,-77.447222,"PJM Interconnection, LLC",,PPL Electric Utilities Corp
Cumberland County PA LFG Recovery,40.135600,-77.507200,"PJM Interconnection, LLC",,Pennsylvania Electric Co
Warren County Solar,40.788957,-75.106970,"PJM Interconnection, LLC",,Jersey Central Power & Lt Co
PPL Renewable Energy Merck Solar,40.727386,-74.378300,"PJM Interconnection, LLC",,Jersey Central Power & Lt Co
Norther Tier Landfill,41.779200,-76.625800,"PJM Interconnection, LLC",,Pennsylvania Electric Co
Moretown,44.312222,-72.711389,ISO New England Inc.,,Green Mountain Power Corp
Chester Diversion Hydroelectric Project,44.018333,-111.583611,Bonneville Power Administration,Henry's Fork river,Fall River Rural Elec Coop Inc
Ameresco Stafford,38.384167,-77.413056,"PJM Interconnection, LLC",,Virginia Electric & Power Co
Ameresco Ox Mountain,37.500000,-122.400000,California Independent System Operator,,Pacific Gas & Electric Co
Ameresco Jefferson City,38.552371,-92.044930,"Midcontinent Independent Transmission System Operator, Inc..",,Union Electric Co - (MO)
Ameresco Keller Canyon,38.003928,-121.934491,California Independent System Operator,,Pacific Gas & Electric Co
Ameresco Chiquita Canyon,34.431664,-118.642855,California Independent System Operator,,Southern California Edison Co
IRC Generator Facility,36.970800,-112.526400,Western Area Power Administration - Desert Southwest Region,,"Garkane Energy Coop, Inc"
Atlantic City Convention Center,39.363900,-74.440800,"PJM Interconnection, LLC",,Atlantic City Electric Co
Noble Altona Windpark LLC,44.821600,-73.650900,New York Independent System Operator,,New York Power Authority
Noble Wethersfield Windpark LLC,42.669700,-78.227800,New York Independent System Operator,,New York State Elec & Gas Corp
Noble Bellmont Windpark LLC,44.890833,-73.985833,New York Independent System Operator,,New York Power Authority
Noble Chateaugay Windpark LLC,44.891700,-74.029900,New York Independent System Operator,,New York Power Authority
Great Plains Windpark LLC,36.496400,-101.391700,Southwest Power Pool,,Southwestern Public Service Co
Dave Gates Generating Station,46.104713,-112.876605,NorthWestern Energy (NWMT),,NorthWestern Energy LLC - (MT)
Gap Pacific Distribution Center,36.783900,-119.709400,California Independent System Operator,,Pacific Gas & Electric Co
Broad Mountain,40.669608,-76.380716,"PJM Interconnection, LLC",,PPL Electric Utilities Corp
Langdon Wind II LLC,48.629200,-98.316400,"Midcontinent Independent Transmission System Operator, Inc..",,"Minnkota Power Coop, Inc"
Osceola Windpower II,43.430300,-95.416700,"Midcontinent Independent Transmission System Operator, Inc..",,ITC Transmission
Orange Grove Peaking Facility,33.359400,-117.111400,California Independent System Operator,Fallbrook PUD,San Diego Gas & Electric Co
SAS Solar Farm,35.813600,-78.750300,Duke Energy Progress East,,Duke Energy Progress - (NC)
"Imperial Valley Solar, LLC",32.671099,-115.587265,California Independent System Operator,Municipality,San Diego Gas & Electric Co
FPL Energy Ashtabula Wind LLC,47.129400,-97.885300,"Midcontinent Independent Transmission System Operator, Inc..",,"Minnkota Power Coop, Inc"
EC&R Panther Creek Wind Farm I,32.100823,-101.451385,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
EC&R Panther Creek Wind Farm II,31.936100,-101.298300,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
WWRF Solar Plant,39.522904,-107.813410,Public Service Company of Colorado,,Public Service Co of Colorado
FPL Energy Crystal Lake Wind LLC,43.212500,-93.831100,"Midcontinent Independent Transmission System Operator, Inc..",,ITC Transmission
FPL Energy Story Wind LLC,42.104400,-93.272200,"Midcontinent Independent Transmission System Operator, Inc..",,ITC Transmission
FPL Energy Crystal Lake Wind II LLC,43.273731,-93.800002,"Midcontinent Independent Transmission System Operator, Inc..",,ITC Transmission
Fairfield University CHP Plant,41.158900,-73.257200,ISO New England Inc.,,United Illuminating Co
DeSoto Next Generation Solar Energy,27.323200,-81.801900,Florida Power & Light Company,,Florida Power & Light Co
Space Coast Next Gen Solar Energy,28.458600,-80.681100,Florida Power & Light Company,,Florida Power & Light Co
Biotech LS 0836,46.733100,-117.158300,Avista Corporation,Wells,Avista Corp
Threemile Canyon,45.675800,-119.937500,PacifiCorp - West,,PacifiCorp
Cassia Wind,42.844400,-115.036900,Idaho Power Company,,Idaho Power Co
Cassia Gulch,42.874400,-115.017200,Idaho Power Company,,Idaho Power Co
Brookfield Power Glen Falls Hydro,43.308505,-73.636584,New York Independent System Operator,Hudson River,Niagara Mohawk Power Corp.
